Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
403.gcc-16B,nopref,0.37795,10172565,4861853,2300444,3010268,1
403.gcc-16B,spp,0.48323,9650368,2397866,2240121,2111972,1
403.gcc-16B,bingo,0.59126,13901432,991995,1994092,2356811,1
403.gcc-16B,mlop,0.54099,11102843,1515744,2034998,2061245,1
403.gcc-16B,pythia,0.55138,11831291,1494963,2008375,3031378,1
410.bwaves-1963B,nopref,0.57958,9619039,9028481,220227,370331,1
410.bwaves-1963B,spp,1.11796,9485768,341531,220226,220568,1
410.bwaves-1963B,bingo,0.99482,9615504,1197723,220227,381597,1
410.bwaves-1963B,mlop,1.13953,9524139,413464,220225,381964,1
410.bwaves-1963B,pythia,1.13105,9619089,388210,220227,370151,1
429.mcf-184B,nopref,0.08238,28484259,25913194,275582,2295483,1
429.mcf-184B,spp,0.08095,31076252,26743364,321236,2203998,1
429.mcf-184B,bingo,0.06716,209240785,27725113,150983,1775351,1
429.mcf-184B,mlop,0.09486,61250191,20561883,410406,2953803,1
429.mcf-184B,pythia,0.10353,43048939,17174601,354069,1554995,1
429.mcf-192B,nopref,0.06807,26692155,26684500,716,6939,1
429.mcf-192B,spp,0.06806,26712431,26690127,702,6596,1
429.mcf-192B,bingo,0.04671,293583173,40895981,1618,17577,1
429.mcf-192B,mlop,0.09996,45629008,13009234,1506,7411,1
429.mcf-192B,pythia,0.10687,41252741,9790703,1246,5675,1
429.mcf-51B,nopref,0.10178,27842372,23955028,381499,3505845,1
429.mcf-51B,spp,0.09962,30515140,24681574,471049,3298441,1
429.mcf-51B,bingo,0.08748,180601622,21940931,371880,3681016,1
429.mcf-51B,mlop,0.10661,57149397,21732821,644019,4549736,1
429.mcf-51B,pythia,0.11337,39787285,19596287,563784,2586221,1
433.milc-127B,nopref,0.42793,12905786,8321697,1600047,2984042,1
433.milc-127B,spp,0.61024,13031701,3274986,1593948,1865744,1
433.milc-127B,bingo,0.59618,12916034,4090682,1594684,2975567,1
433.milc-127B,mlop,0.58575,26829551,2697041,1596816,2350452,1
433.milc-127B,pythia,0.63598,12915481,3134743,1600038,2982963,1
436.cactusADM-1804B,nopref,0.3697,2428738,1324185,604673,499880,1
436.cactusADM-1804B,spp,0.3972,3260833,79139,734795,691508,1
436.cactusADM-1804B,bingo,0.40128,2435925,54361,605072,488898,1
436.cactusADM-1804B,mlop,0.38611,3030717,382076,677320,615157,1
436.cactusADM-1804B,pythia,0.40097,2423790,54490,603610,494013,1
437.leslie3d-149B,nopref,0.60311,4259093,2507934,962661,788498,1
437.leslie3d-149B,spp,1.08768,4360383,81372,985246,747191,1
437.leslie3d-149B,bingo,1.05946,4292590,200537,949390,776831,1
437.leslie3d-149B,mlop,0.99363,4248055,198118,956809,760347,1
437.leslie3d-149B,pythia,1.12939,4295060,77087,953845,791387,1
437.leslie3d-232B,nopref,0.5913,4427748,2615091,900041,912616,1
437.leslie3d-232B,spp,1.05265,4265804,87612,894854,709998,1
437.leslie3d-232B,bingo,1.03157,4455328,233041,890160,861601,1
437.leslie3d-232B,mlop,1.00397,4355196,151627,890278,768802,1
437.leslie3d-232B,pythia,1.09645,4420082,88073,892600,840573,1
437.leslie3d-265B,nopref,0.62022,3883294,2505457,685463,692374,1
437.leslie3d-265B,spp,1.06506,3963043,68826,744254,571198,1
437.leslie3d-265B,bingo,1.0471,3873456,189692,682202,649005,1
437.leslie3d-265B,mlop,1.00782,3943702,152065,702713,608992,1
437.leslie3d-265B,pythia,1.11705,3865756,46259,683648,648795,1
437.leslie3d-271B,nopref,0.60162,3883397,2506802,712798,663797,1
437.leslie3d-271B,spp,1.07741,4020918,68971,776472,583366,1
437.leslie3d-271B,bingo,1.05627,3890640,170991,709924,637459,1
437.leslie3d-271B,mlop,1.00674,3880033,161480,726008,607667,1
437.leslie3d-271B,pythia,1.12713,3889775,42422,711187,660971,1
445.gobmk-30B,nopref,0.37578,1556312,122595,753363,680354,1
445.gobmk-30B,spp,0.37704,1570136,92925,753350,671439,1
445.gobmk-30B,bingo,0.37868,1956010,79212,750451,684222,1
445.gobmk-30B,mlop,0.37749,1673573,78192,751967,678722,1
445.gobmk-30B,pythia,0.37845,1624304,73472,751655,674132,1
445.gobmk-36B,nopref,0.37997,1615516,163676,747980,703860,1
445.gobmk-36B,spp,0.38122,1624794,131676,749753,687926,1
445.gobmk-36B,bingo,0.38281,2016779,112919,739672,696508,1
445.gobmk-36B,mlop,0.38189,1965977,117627,744487,705597,1
445.gobmk-36B,pythia,0.3825,1710334,114036,739482,694138,1
450.soplex-247B,nopref,0.28131,15098224,11108916,2477996,1511312,1
450.soplex-247B,spp,0.33427,19429248,7664109,2565071,2180851,1
450.soplex-247B,bingo,0.37206,28061510,3307663,2734373,1358325,1
450.soplex-247B,mlop,0.33203,23327447,5621341,2635469,1744836,1
450.soplex-247B,pythia,0.38698,19568741,3610889,2589272,1866076,1
459.GemsFDTD-765B,nopref,0.5122,5024835,3288024,29,1736782,1
459.GemsFDTD-765B,spp,0.7055,3526269,278446,26,3036,1
459.GemsFDTD-765B,bingo,0.68792,5367361,435082,27,1540399,1
459.GemsFDTD-765B,mlop,0.72077,3935240,177676,30,140495,1
459.GemsFDTD-765B,pythia,0.71947,5547621,312290,22,1720204,1
